,lat,lng,DDD,state
Abdon Batista,-27.6107222,-51.024725700000005,49,SC
Abelardo Luz,-26.566384499999998,-52.327599400000004,49,SC
Agua Doce,-26.9991151,-51.5533194,49,SC
Aguas De Chapeco,-27.0737607,-52.9845674,49,SC
Aguas Frias,-26.879746100000002,-52.8574496,49,SC
Alto Bela Vista,-27.4331285,-51.9052422,49,SC
Anchieta,-26.5515834,-53.32585129999999,49,SC
Anita Garibaldi,-27.6858289,-51.1253861,49,SC
Arabuta,-27.1585452,-52.1428149,49,SC
Arroio Trinta,-26.9283452,-51.336530700000004,49,SC
Arvoredo,-27.0753028,-52.4547675,49,SC
Bandeirante,-26.7660929,-53.63863370000001,49,SC
Barra Bonita,-26.6531305,-53.4400894,49,SC
Belmonte,-26.843475899999998,-53.5763252,49,SC
Bocaina Do Sul,-27.745991999999998,-49.9427696,49,SC
Bom Jardim Da Serra,-28.3404303,-49.6262729,49,SC
Bom Jesus,-26.742778499999996,-52.393279299999996,49,SC
Bom Jesus Do Oeste,-26.6932202,-53.097235999999995,49,SC
Bom Retiro,-27.7991605,-49.4877635,49,SC
Brunopolis,-27.306274199999997,-50.86886610000001,49,SC
Cacador,-26.7761609,-51.0124989,49,SC
Caibi,-27.075737699999998,-53.2492692,49,SC
Calmon,-26.602610700000003,-51.09850640000001,49,SC
Campo Belo Do Sul,-27.8985494,-50.7573371,49,SC
Campo Ere,-26.394270600000002,-53.079187100000006,49,SC
Campos Novos,-27.4009891,-51.2258597,49,SC
Capão Alto,-27.9382172,-50.51070490000001,49,SC
Capinzal,-27.347325899999998,-51.6056325,49,SC
Catanduvas,-27.069568800000003,-51.66051160000001,49,SC
Caxambu Do Sul,-27.1628865,-52.8812294,49,SC
Celso Ramos,-27.635436600000006,-51.3351323,49,SC
Cerro Negro,-27.797454300000002,-50.8738456,49,SC
Chapeco,-27.1009343,-52.615699,49,SC
Concordia,-27.233113399999997,-52.0275531,49,SC
Cordilheira Alta,-26.984888899999998,-52.6060904,49,SC
Coronel Freitas,-26.9061983,-52.7016308,49,SC
Coronel Martins,-26.511527100000002,-52.6698678,49,SC
Correia Pinto,-27.583337899999997,-50.3657835,49,SC
Cunha Pora,-26.892643,-53.1715625,49,SC
Cunhatai,-26.9714081,-53.089986100000004,49,SC
Curitibanos,-27.282854999999998,-50.582103700000005,49,SC
Descanso,-26.824699,-53.5017684,49,SC
Dionisio Cerqueira,-26.2649782,-53.63626899999999,49,SC
Entre Rios,-26.7217479,-52.5654422,49,SC
Erval Velho,-27.274812100000005,-51.443490600000004,49,SC
Faxinal Dos Guedes,-26.8523908,-52.2610695,49,SC
Flor Do Sertão,-26.7785087,-53.348772200000006,49,SC
Formosa Do Sul,-26.647980800000003,-52.7933848,49,SC
Fraiburgo,-27.0235945,-50.922346600000004,49,SC
Frei Rogerio,-27.175514,-50.8081161,49,SC
Galvão,-26.4560815,-52.69008299999999,49,SC
Guaraciaba,-26.5993308,-53.5152796,49,SC
Guaruja Do Sul,-26.386293699999996,-53.530087800000004,49,SC
Guatambu,-27.1345876,-52.78916049999999,49,SC
Herval D'Oeste,-27.170189699999998,-51.4947552,49,SC
Ibiam,-27.185149499999998,-51.2356525,49,SC
Ibicare,-27.1075494,-51.3679914,49,SC
Iomere,-27.001598699999995,-51.2410308,49,SC
Ipira,-27.4042338,-51.7764848,49,SC
Ipora Do Oeste,-26.988015700000002,-53.5346377,49,SC
Ipuacu,-26.6954591,-52.4678659,49,SC
Ipumirim,-27.0754627,-52.134451399999996,49,SC
Iraceminha,-26.823099100000004,-53.2723063,49,SC
Irani,-27.0222777,-51.90367020000001,49,SC
Irati,-26.657253499999996,-52.894308900000006,49,SC
Ita,-27.2771065,-52.3267979,49,SC
Itapiranga,-27.1698985,-53.7108335,49,SC
Jabora,-27.172045899999997,-51.7377134,49,SC
Jardinopolis,-26.7196201,-52.863033200000004,49,SC
Joacaba,-27.1743773,-51.505447499999995,49,SC
Jupia,-26.395521399999996,-52.73027270000001,49,SC
Lacerdopolis,-27.2616402,-51.55696039999999,49,SC
Lages,-27.815462899999996,-50.326356,49,SC
Lajeado Grande,-26.858099600000003,-52.5652895,49,SC
Lebon Regis,-26.876132899999998,-50.72089889999999,49,SC
Lindoia Do Sul,-27.051586199999996,-52.0831281,49,SC
Luzerna,-27.131035600000004,-51.468356799999995,49,SC
Macieira,-26.8564419,-51.3760124,49,SC
Maravilha,-26.755959000000004,-53.1965079,49,SC
Marema,-26.8028463,-52.6269527,49,SC
Matos Costa,-26.4713593,-51.150589700000005,49,SC
Modelo,-26.776324199999998,-53.05381800000001,49,SC
Mondai,-27.1019098,-53.399086499999996,49,SC
Monte Carlo,-27.155513300000003,-50.908091299999995,49,SC
Nova Erechim,-26.8986436,-52.9070792,49,SC
Nova Itaberaba,-26.943289899999996,-52.8145858,49,SC
Novo Horizonte,-26.4472656,-52.83102179999999,49,SC
Otacilio Costa,-27.506771999999998,-50.1138045,49,SC
Ouro Verde,-26.694703399999998,-52.3101883,49,SC
Paial,-27.2545922,-52.4980257,49,SC
Painel,-27.923423600000003,-50.101247799999996,49,SC
Palma Sola,-26.347691499999996,-53.2780329,49,SC
Palmeira,-27.580314299999998,-50.158857899999994,49,SC
Palmitos,-27.071712800000004,-53.159139,49,SC
Paraiso,-26.617969,-53.67733689999999,49,SC
Passos Maia,-26.7803251,-52.0606113,49,SC
Peritiba,-27.3737958,-51.90639290000001,49,SC
Pinhalzinho,-26.852585700000002,-52.987210899999994,49,SC
Pinheiro Preto,-27.0488091,-51.2247468,49,SC
Piratuba,-27.4197664,-51.7752272,49,SC
Planalto Alegre,-27.0709083,-52.86750079999999,49,SC
Ponte Alta,-27.4844261,-50.3779723,49,SC
Ponte Alta Do Norte,-27.159835100000002,-50.4663309,49,SC
Ponte Serrada,-26.873226199999998,-52.018207000000004,49,SC
Porto União,-26.2389124,-51.0817102,49,SC
Presidente Castelo Branco,-27.222221899999997,-51.8099214,49,SC
Princesa,-26.4445713,-53.599942500000004,49,SC
Quilombo,-26.733056400000002,-52.7178171,49,SC
Rio Das Antas,-26.8975733,-51.075033000000005,49,SC
Rio Rufino,-27.902620399999996,-49.752430600000004,49,SC
Riqueza,-27.0701054,-53.3258041,49,SC
Romelandia,-26.6785154,-53.31917579999999,49,SC
Saltinho,-26.608193300000003,-53.05826279999999,49,SC
Salto Veloso,-26.9034809,-51.404835600000006,49,SC
Santa Cecilia,-26.964724600000004,-50.4176152,49,SC
Santa Helena,-26.937448100000005,-53.6219549,49,SC
Santa Terezinha Do Progresso,-26.619374699999998,-53.1981003,49,SC
Santiago Do Sul,-26.635919899999998,-52.676294999999996,49,SC
São Bernardino,-26.4715809,-52.9649312,49,SC
São Carlos,-27.084673100000003,-53.00559579999999,49,SC
São Cristovão Do Sul,-27.267121600000003,-50.4392995,49,SC
São Domingos,-26.560574300000003,-52.5326853,49,SC
São João Do Oeste,-27.0991941,-53.5926047,49,SC
São Joaquim,-28.2924762,-49.9375744,49,SC
São Jose Do Cedro,-26.455473100000003,-53.4994236,49,SC
São Jose Do Cerrito,-27.661626000000002,-50.57971819999999,49,SC
São Lourenco Do Oeste,-26.3544977,-52.8527323,49,SC
São Miguel Da Boa Vista,-26.687443599999998,-53.25161899999999,49,SC
São Miguel Do Oeste,-26.724705800000002,-53.51677320000001,49,SC
Saudades,-26.926003499999997,-53.00476389999999,49,SC
Seara,-27.1530152,-52.3104047,49,SC
Serra Alta,-26.7233815,-53.0413805,49,SC
Sul Brasil,-26.6960526,-52.9543654,49,SC
Tangara,-27.1034454,-51.245129799999994,49,SC
Tigrinhos,-26.688093,-53.155040299999996,49,SC
Timbo Grande,-26.617811,-50.6720219,49,SC
Treze Tilias,-26.999830199999998,-51.40889199999999,49,SC
Tunapolis,-26.971754600000004,-53.639261600000005,49,SC
União Do Oeste,-26.762524199999998,-52.854632200000005,49,SC
Urubici,-28.0071174,-49.589468200000006,49,SC
Urupema,-27.9545386,-49.8766717,49,SC
Vargeão,-26.862575099999997,-52.1554113,49,SC
Vargem,-27.490895799999997,-50.977412,49,SC
Vargem Bonita,-27.004396999999997,-51.74134609999999,49,SC
Videira,-27.0052075,-51.15439500000001,49,SC
Xanxere,-26.8751803,-52.40408529999999,49,SC
Xavantina,-27.0174001,-52.340051700000004,49,SC
Xaxim,-26.956060700000002,-52.53600729999999,49,SC
Zortea,-27.4525563,-51.5524953,49,SC
Agrolandia,-27.4106483,-49.8296196,47,SC
Agronomica,-27.2651999,-49.7121068,47,SC
Apiuna,-27.0361265,-49.3907772,47,SC
Araquari,-26.3766505,-48.7188884,47,SC
Ascurra,-26.957609,-49.3748348,47,SC
Atalanta,-27.4224135,-49.7793508,47,SC
Aurora,-27.313467600000006,-49.6366171,47,SC
Balneario Barra Do Sul,-26.4600177,-48.6109443,47,SC
Balneario Camboriu,-27.001596600000006,-48.6379041,47,SC
Barra Velha,-26.6331439,-48.6846608,47,SC
Bela Vista Do Toldo,-26.3198418,-50.47217360000001,47,SC
Benedito Novo,-26.7751548,-49.367893,47,SC
Blumenau,-26.9165792,-49.0717331,47,SC
Bombinhas,-27.1517242,-48.4912218,47,SC
Botuvera,-27.2001467,-49.0744924,47,SC
Braco Do Trombudo,-27.3590749,-49.88263320000001,47,SC
Brusque,-27.0982053,-48.9111422,47,SC
Camboriu,-27.0245779,-48.65081470000001,47,SC
Campo Alegre,-26.1897818,-49.2669966,47,SC
Canoinhas,-26.1770819,-50.3954885,47,SC
Chapadão Do Lageado,-27.5897517,-49.5502089,47,SC
Corupa,-26.4355066,-49.2452364,47,SC
Dona Emma,-26.9864675,-49.7243368,47,SC
Doutor Pedrinho,-26.7165525,-49.4855796,47,SC
Garuva,-26.0296737,-48.8555034,47,SC
Gaspar,-26.9340955,-48.95390689999999,47,SC
Guabiruba,-27.0863925,-48.96574709999999,47,SC
Guaramirim,-26.4743278,-49.0023,47,SC
Ibirama,-27.0590519,-49.5192527,47,SC
Ilhota,-26.9012037,-48.82850429999999,47,SC
Imbuia,-27.4920242,-49.4224324,47,SC
Indaial,-26.8997445,-49.2358981,47,SC
Irineopolis,-26.2429228,-50.795168,47,SC
Itaiopolis,-26.3396691,-49.9061128,47,SC
Itajai,-26.9105964,-48.6709514,47,SC
Itapema,-27.0960682,-48.6178074,47,SC
Itapoa,-26.0713285,-48.61773839999999,47,SC
Ituporanga,-27.4156778,-49.60338400000001,47,SC
Jaragua Do Sul,-26.4822209,-49.073477,47,SC
Joinville,-26.2834213,-48.8452269,47,SC
Jose Boiteux,-26.9566036,-49.62876989999999,47,SC
Laurentino,-27.2177919,-49.7336055,47,SC
Lontras,-27.1926298,-49.50763920000001,47,SC
Luiz Alves,-26.7137615,-48.9123933,47,SC
Mafra,-26.1164276,-49.8091065,47,SC
Major Vieira,-26.4506521,-50.3894858,47,SC
Massaranduba,-26.6195818,-48.9807651,47,SC
Mirim Doce,-27.2009804,-50.0698563,47,SC
Monte Castelo,-26.459699600000004,-50.2308371,47,SC
Navegantes,-26.8947924,-48.65506920000001,47,SC
Papanduva,-26.410020000000006,-50.1329815,47,SC
Penha,-26.7744186,-48.64368959999999,47,SC
Petrolandia,-27.533824900000006,-49.69849,47,SC
Picarras,-26.7697853,-48.67675699999999,47,SC
Pomerode,-26.737642699999995,-49.174375,47,SC
Porto Belo,-27.157469,-48.5757024,47,SC
Pouso Redondo,-27.2572213,-49.93058629999999,47,SC
Presidente Getulio,-27.0416321,-49.6213852,47,SC
Presidente Nereu,-27.278923100000004,-49.3891411,47,SC
Rio Do Campo,-26.945158600000006,-50.1386429,47,SC
Rio Do Oeste,-27.1956516,-49.799383,47,SC
Rio Do Sul,-27.2160932,-49.6435018,47,SC
Rio Dos Cedros,-26.7435083,-49.27435759999999,47,SC
Rio Negrinho,-26.2499033,-49.51806699999999,47,SC
Rodeio,-26.9243784,-49.3688265,47,SC
Salete,-26.9784041,-50.00474260000001,47,SC
Santa Terezinha,-26.628556,-49.9777136,47,SC
São Bento Do Sul,-26.2500365,-49.3835566,47,SC
São Francisco Do Sul,-26.251806899999995,-48.6178843,47,SC
São João Do Itaperiu,-26.6174708,-48.76749160000001,47,SC
Schroeder,-26.4201634,-49.0712308,47,SC
Taio,-27.1159847,-49.9961505,47,SC
Timbo,-26.7958795,-49.26386779999999,47,SC
Tres Barras,-26.124115,-50.3120667,47,SC
Trombudo Central,-27.3008678,-49.79225570000001,47,SC
Vidal Ramos,-27.3699127,-49.34501119999999,47,SC
Vitor Meireles,-26.8820148,-49.834745700000006,47,SC
Witmarsum,-26.9227403,-49.788978,47,SC
Aguas Mornas,-27.743632,-48.920282799999995,48,SC
Alfredo Wagner,-27.6959489,-49.33206939999999,48,SC
Angelina,-27.5733359,-48.984378899999996,48,SC
Anitapolis,-27.9071185,-49.128296999999996,48,SC
Antonio Carlos,-27.5179042,-48.7684179,48,SC
Ararangua,-28.936118699999998,-49.4923013,48,SC
Armazem,-27.613549199999998,-48.526838399999995,48,SC
Balneario Arroio Do Silva,-29.0195187,-49.477111799999996,48,SC
Balneario Gaivota,-29.154686699999996,-49.5809106,48,SC
Biguacu,-27.5840913,-48.586907000000004,48,SC
Braco Do Norte,-28.2303185,-49.1423666,48,SC
Canelinha,-27.261821299999998,-48.7653683,48,SC
Capivari De Baixo,-28.460555499999998,-48.9505159,48,SC
Cocal Do Sul,-28.599483799999998,-49.3238948,48,SC
Criciuma,-28.672632899999996,-49.3733541,48,SC
Ermo,-28.984951000000002,-49.6423481,48,SC
Florianopolis,-27.594869800000005,-48.54821949999999,48,SC
Forquilhinha,-28.747796299999997,-49.474505900000004,48,SC
Garopaba,-28.0272534,-48.6189508,48,SC
Governador Celso Ramos,-27.31593680000001,-48.557129700000004,48,SC
Grão Para,-28.185643199999998,-49.216393,48,SC
Gravatal,-28.3268408,-49.070153999999995,48,SC
Icara,-28.7137096,-49.3091437,48,SC
Imarui,-28.3437512,-48.8164937,48,SC
Imbituba,-28.227627000000002,-48.6691286,48,SC
Jacinto Machado,-29.0003303,-49.76115799999999,48,SC
Jaguaruna,-28.6188468,-49.025166799999994,48,SC
Laguna,-28.4876062,-48.8397403,48,SC
Lauro Muller,-28.391905800000004,-49.3960964,48,SC
Leoberto Leal,-27.5048201,-49.2883819,48,SC
Major Gercino,-27.4398664,-49.101923299999996,48,SC
Maracaja,-28.847580699999998,-49.45456069999999,48,SC
Meleiro,-28.8564935,-49.5891233,48,SC
Morro Da Fumaca,-28.6540002,-49.2120154,48,SC
Morro Grande,-28.8010724,-49.721855700000006,48,SC
Nova Trento,-27.306980499999998,-49.000940299999996,48,SC
Nova Veneza,-28.63709170000001,-49.5010759,48,SC
Orleans,-28.3586648,-49.288187,48,SC
Palhoca,-27.646431,-48.67191680000001,48,SC
Passo De Torres,-29.321042600000002,-49.7239211,48,SC
Paulo Lopes,-27.960416600000002,-48.6789114,48,SC
Pedras Grandes,-28.4355772,-49.18543820000001,48,SC
Praia Grande,-29.188763,-49.949388,48,SC
Rancho Queimado,-27.6734343,-49.0124407,48,SC
Rio Fortuna,-28.134025399999995,-49.103751900000006,48,SC
Sangão,-28.6381455,-49.1257517,48,SC
Santa Rosa De Lima,-28.0122447,-49.1828385,48,SC
Santa Rosa Do Sul,-29.13826610000001,-49.71519710000001,48,SC
Santo Amaro Da Imperatriz,-27.685683899999997,-48.7817857,48,SC
São Bonifacio,-27.900110499999997,-48.930128700000004,48,SC
São João Batista,-27.5774781,-48.5279451,48,SC
São João Do Sul,-29.224309,-49.8100179,48,SC
São Jose,-27.6140791,-48.63708610000001,48,SC
São Ludgero,-28.3274045,-49.1789665,48,SC
São Martinho,-28.1613858,-48.98720850000001,48,SC
São Pedro De Alcantara,-27.585225199999996,-48.8296806,48,SC
Sideropolis,-28.5959415,-49.4319419,48,SC
Sombrio,-29.101472100000002,-49.6378275,48,SC
Tijucas,-27.240063,-48.63361829999999,48,SC
Timbe Do Sul,-28.829251,-49.8425427,48,SC
Treviso,-28.513866,-49.456593,48,SC
Treze De Maio,-28.559876799999998,-49.1510349,48,SC
Tubarão,-28.4818875,-49.00587270000001,48,SC
Turvo,-25.0461518,-51.53926999999999,48,SC
Urussanga,-28.525566499999996,-49.32154110000001,48,SC
