,endereço,telefone,avaliação,link_maps,user_ratings_total,coordenadas,nome
0,"SC-405, 1305 - Rio Tavares, Florianópolis - SC, 88063-700, Brazil",(48) 3232-7070,4.7,https://maps.google.com/?cid=10627666416648752230,189.0,"{'lat': -27.65525, 'lng': -48.5145}",Floripa Pneus Ilha - Pneus e Rodas Para Carros
1,"R. Dep. Antônio Edu Vieira, 694 - Pantanal, Florianópolis - SC, 88040-001, Brazil",(48) 3371-5855,4.5,https://maps.google.com/?cid=7175785781008738290,88.0,"{'lat': -27.6095364, 'lng': -48.5221559}",Bonetti Auto Center - Pantanal
2,"R. Dep. Antônio Edu Vieira, 162 - Pantanal, Florianópolis - SC, 88040-000, Brazil",(48) 98502-5889,4.6,https://maps.google.com/?cid=6960848004735760016,157.0,"{'lat': -27.6128296, 'lng': -48.52565540000001}",Borracharia Paulista
3,"Av. Mauro Ramos, 44 - Centro, Florianópolis - SC, 88020-300, Brazil",(48) 4009-5950,4.3,https://maps.google.com/?cid=18101994104684900549,250.0,"{'lat': -27.5997742, 'lng': -48.5449713}",DPaschoal
4,"Av. Me. Benvenuta, 1113 - Santa Monica, Florianópolis - SC, 88035-000, Brazil",(48) 3240-4900,3.7,https://maps.google.com/?cid=17878679929907023750,51.0,"{'lat': -27.5901504, 'lng': -48.5107507}",Casa Grande Santa Mônica / Loja de Pneus em Florianópolis
5,"Tv. Debrandino Machado, 30 - Costeira do Pirajubaé, Florianópolis - SC, 88047-210, Brazil",,0.0,https://maps.google.com/?cid=813965508275058736,,"{'lat': -27.6356277, 'lng': -48.5226142}",L.V. pneus e Borracharia
6,"Rodovia Francisco Magno Vieira, 1928 - Rio Tavares, Florianópolis - SC, 88063-700, Brazil",(48) 3226-0837,4.8,https://maps.google.com/?cid=333051253150434900,178.0,"{'lat': -27.657438, 'lng': -48.509268}",ARG pneus
7,"Rod. Admar Gonzaga, 2625 - Itacorubi, Florianópolis - SC, 88034-001, Brazil",(48) 3233-3070,4.2,https://maps.google.com/?cid=9367349347235168043,254.0,"{'lat': -27.590668, 'lng': -48.494053}",Cezar Pneus
8,"R. Cap. Euclídes de Castro, 22 - Coqueiros, Florianópolis - SC, 88080-010, Brazil",(48) 3248-1313,4.6,https://maps.google.com/?cid=1670641093896968279,193.0,"{'lat': -27.5995045, 'lng': -48.5737921}",Dva Pneus Florianópolis - Revenda Michelin
9,"Avenida Marinheiro Max Schramm, 3285 - Jardim Atlântico, Florianópolis - SC, 88095-001, Brazil",(48) 3028-2018,4.5,https://maps.google.com/?cid=13404489274439865689,1168.0,"{'lat': -27.5769368, 'lng': -48.5944661}",Tires Floripa Florianópolis
