,business_status,formatted_address,formatted_phone_number,rating,types,url,user_ratings_total,location,name
ChIJ-WTX9rU7J5URZoyyU0wOfZM,OPERATIONAL,"SC-405, 1305 - Rio Tavares, Florianópolis - SC, 88063-700, Brazil",(48) 3232-7070,4.7,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=10627666416648752230,189,"{'lat': -27.65525, 'lng': -48.5145}",Floripa Pneus Ilha - Pneus e Rodas Para Carros
ChIJtU9nnqg5J5UR8idTHSaDlWM,OPERATIONAL,"R. Dep. Antônio Edu Vieira, 694 - Pantanal, Florianópolis - SC, 88040-001, Brazil",(48) 3371-5855,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=7175785781008738290,88,"{'lat': -27.6095364, 'lng': -48.5221559}",Bonetti Auto Center - Pantanal
ChIJawaHwKU5J5URkPbCUWHmmWA,OPERATIONAL,"R. Dep. Antônio Edu Vieira, 162 - Pantanal, Florianópolis - SC, 88040-000, Brazil",(48) 98502-5889,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=6960848004735760016,157,"{'lat': -27.6128296, 'lng': -48.52565540000001}",Borracharia Paulista
ChIJnc3E-jA4J5URxXD1z7ozN_s,OPERATIONAL,"Av. Mauro Ramos, 44 - Centro, Florianópolis - SC, 88020-300, Brazil",(48) 4009-5950,4.3,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=18101994104684900549,250,"{'lat': -27.5997742, 'lng': -48.5449713}",DPaschoal
ChIJo8QOxzI5J5URho8Dw6vUHfg,OPERATIONAL,"Av. Me. Benvenuta, 1113 - Santa Monica, Florianópolis - SC, 88035-000, Brazil",(48) 3240-4900,3.7,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=17878679929907023750,51,"{'lat': -27.5901504, 'lng': -48.5107507}",Casa Grande Santa Mônica / Loja de Pneus em Florianópolis
ChIJe-TQlYA5J5URMLgnNFHJSws,OPERATIONAL,"Tv. Debrandino Machado, 30 - Costeira do Pirajubaé, Florianópolis - SC, 88047-210, Brazil",,0,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=813965508275058736,,"{'lat': -27.6356277, 'lng': -48.5226142}",L.V. pneus e Borracharia
ChIJAzNLULc7J5URVMYHpFk8nwQ,OPERATIONAL,"Rodovia Francisco Magno Vieira, 1928 - Rio Tavares, Florianópolis - SC, 88063-700, Brazil",(48) 3226-0837,4.8,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=333051253150434900,178,"{'lat': -27.657438, 'lng': -48.509268}",ARG pneus
ChIJzVRWBgE5J5URK3_w2JmC_4E,OPERATIONAL,"Rod. Admar Gonzaga, 2625 - Itacorubi, Florianópolis - SC, 88034-001, Brazil",(48) 3233-3070,4.2,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=9367349347235168043,254,"{'lat': -27.590668, 'lng': -48.494053}",Cezar Pneus
ChIJAwQGzew3J5URVxjmNDlPLxc,OPERATIONAL,"R. Cap. Euclídes de Castro, 22 - Coqueiros, Florianópolis - SC, 88080-010, Brazil",(48) 3248-1313,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=1670641093896968279,193,"{'lat': -27.5995045, 'lng': -48.5737921}",Dva Pneus Florianópolis - Revenda Michelin
ChIJER8qFDJIJ5URWZWFnvlPBro,OPERATIONAL,"Avenida Marinheiro Max Schramm, 3285 - Jardim Atlântico, Florianópolis - SC, 88095-001, Brazil",(48) 3028-2018,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=13404489274439865689,1168,"{'lat': -27.5769368, 'lng': -48.5944661}",Tires Floripa Florianópolis
ChIJ1eEsUzk4J5URuKz2mgWJ4SY,OPERATIONAL,"Av. Mauro Ramos, 463 - Centro, Florianópolis - SC, 88020-301, Brazil",(48) 3223-7696,3.9,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=2801671100368858296,43,"{'lat': -27.597032, 'lng': -48.5443349}",Eskina Pneus e Mecânica Geral
ChIJoUSzWMs7J5URM7prK1bqKl0,OPERATIONAL,"Rodovia Francisco Magno Vieira, 757 - Costeira do Pirajubaé, Florianópolis - SC, 88048-000, Brazil",(48) 3238-1917,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=6713435850365712947,45,"{'lat': -27.6514149, 'lng': -48.517747}",Mario Pneus
ChIJj-OR-TFIJ5URJLYuhGN2DLw,OPERATIONAL,"Av. Marinheiro Max Schramm, 3234 - Jardim Atlântico, Florianópolis - SC, 88095-000, Brazil",(48) 3039-0055,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=13550335548642473508,135,"{'lat': -27.5768836, 'lng': -48.5936927}",Pneu Mais Auto Center
ChIJD7nIVQM5J5URVUdgBhgujv4,OPERATIONAL,"R. João Pio Duarte Silva, 814 - Córrego Grande, Florianópolis - SC, 88037-001, Brazil",(48) 3028-4422,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=18342649013047674709,122,"{'lat': -27.5999536, 'lng': -48.5089826}",Chalé Pneus
ChIJg3hUYVo5J5URHxDzKMTyedY,OPERATIONAL,"R. Silva Jardim, 145 - Centro, Florianópolis - SC, 88020-199, Brazil",(48) 3240-4900,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=15454650520613097503,26,"{'lat': -27.6023213, 'lng': -48.5458077}",Casa Grande | Pneus | Pneus Centro Florianópolis | Acessórios Carro
ChIJVWDVne44J5URG3KKYjt2lyo,OPERATIONAL,"Rod. Admar Gonzaga, 1008 - Itacorubi, Florianópolis - SC, 88034-000, Brazil",(48) 3024-5491,3.9,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=3069051668504670747,107,"{'lat': -27.5794319, 'lng': -48.50535}",Martins repair wheels
ChIJI1W1FC9IJ5URqQzStYftol8,OPERATIONAL,"Avenida Marinheiro Max Schramm, 2157- Estreito - Jardim Atlântico, Florianópolis - SC, 88095-001, Brazil",(48) 4009-5900,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=6891331546957089961,300,"{'lat': -27.582161, 'lng': -48.5859316}",DPaschoal
ChIJ698R3yZIJ5URuuSqz2PJQYw,OPERATIONAL,"R. Bonfim, 05 - Passa Vinte, Palhoça - SC, 88132-135, Brazil",(48) 3374-6656,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=10106580469319132346,85,"{'lat': -27.6411633, 'lng': -48.6686559}","HOT MEGA Pneus, Suspensão e troca de óleo"
ChIJvdi7EDJIJ5UR5gsfzyVpCR8,OPERATIONAL,"Av. Marinheiro Max Schramm, 3325 - Jardim Atlântico, Florianópolis - SC, 88095-000, Brazil",(48) 3240-4900,3.8,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=2236434301075786726,1525,"{'lat': -27.576733, 'lng': -48.59484}",Casa Grande Autoshopping
ChIJUxQHtKNJJ5URMiE311p2iRc,OPERATIONAL,"R. Célio Veiga, 165 - Jardim Cidade de Florianopolis, São José - SC, 88111-320, Brazil",(48) 3208-1465,4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=1696016867211551026,74,"{'lat': -27.5631529, 'lng': -48.61599959999999}",Pit Stop Tires
ChIJfYBq0wA2J5URrijwSWkS2b8,OPERATIONAL,"R. Pedro Cota de Castro, 9260 - Picadas do Sul, São José - SC, 88106-102, Brazil",(48) 3240-4900,4.2,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=13824100774611789998,243,"{'lat': -27.6076039, 'lng': -48.6369652}",Casa Grande /Loja de Pneus em São José
ChIJZ9xoNO83J5URo-rpEVcI_AQ,OPERATIONAL,"R. Fúlvio Aducci, 562 - Estreito, Florianópolis - SC, 88075-000, Brazil",(48) 3364-0764,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=359171240338516643,91,"{'lat': -27.5907585, 'lng': -48.5733884}",Damiani Pneus
